Change Physical Footprint: Designator= Old Footprint=teensy_3.6 New Footprint=teensy_3.6
Change Physical Footprint: Designator=C1 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=C2 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=C3 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=J1 Old Footprint=RJ11_Connector New Footprint=RJ11_Connector
Change Physical Footprint: Designator=J2 Old Footprint=RJ11_Connector New Footprint=RJ11_Connector
Change Physical Footprint: Designator=P1 Old Footprint=HDR1X3 New Footprint=HDR1X3
Change Physical Footprint: Designator=P2 Old Footprint=HDR1X24 New Footprint=HDR1X24
Change Physical Footprint: Designator=P3 Old Footprint=HDR1X24 New Footprint=HDR1X24
Change Physical Footprint: Designator=P4 Old Footprint=JST_SE_5PIN New Footprint=JST_SE_5PIN
Change Physical Footprint: Designator=P5 Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=P6 Old Footprint=HDR2X3 New Footprint=HDR2X3
Change Physical Footprint: Designator=P7 Old Footprint=PIN_HEADER_M_1x3 New Footprint=PIN_HEADER_M_1x3
Change Physical Footprint: Designator=P8 Old Footprint=PIN_HEADER_M_1x3 New Footprint=PIN_HEADER_M_1x3
Change Physical Footprint: Designator=P9 Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=P10 Old Footprint=HDR2X3 New Footprint=HDR2X3
Change Physical Footprint: Designator=P11 Old Footprint=HDR2X3 New Footprint=HDR2X3
Change Physical Footprint: Designator=P12 Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=P13 Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=P14 Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=R1 Old Footprint=R_SMD_0805_pcb New Footprint=R_SMD_0805_pcb
Change Physical Footprint: Designator=R2 Old Footprint=R_SMD_0805_pcb New Footprint=R_SMD_0805_pcb
Change Physical Footprint: Designator=S1 Old Footprint=SWITCH_ATE New Footprint=SWITCH_ATE
Change Physical Footprint: Designator=U1 Old Footprint=SN65HVD231D_SMD New Footprint=SN65HVD231D_SMD
Change Physical Footprint: Designator=U2 Old Footprint=IL_710-2E_DIP8 New Footprint=IL_710-2E_DIP8
Change Physical Footprint: Designator=U3 Old Footprint=IL_710-2E_DIP8 New Footprint=IL_710-2E_DIP8
