Change Physical Footprint: Designator=1 Old Footprint=teensy_3.6 New Footprint=teensy_3.6
Change Physical Footprint: Designator=3V3 Old Footprint=PIN_HEADER_M_2x3 New Footprint=PIN_HEADER_M_2x3
Change Physical Footprint: Designator=5V Old Footprint=PIN_HEADER_M_2x3 New Footprint=PIN_HEADER_M_2x3
Change Physical Footprint: Designator=Blink Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=Blink Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=Brake Old Footprint=JST_SE_3PIN New Footprint=JST_SE_3PIN
Change Physical Footprint: Designator=C1 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=C2 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=C3 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=C4 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=C5 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=C7 Old Footprint=C_SMD_0805_pcb New Footprint=C_SMD_0805_pcb
Change Physical Footprint: Designator=CANC Old Footprint=PIN_HEADER_M_1x3 New Footprint=PIN_HEADER_M_1x3
Change Physical Footprint: Designator=CANR Old Footprint=PIN_HEADER_M_1x3 New Footprint=PIN_HEADER_M_1x3
Change Physical Footprint: Designator=GND Old Footprint=PIN_HEADER_M_2x3 New Footprint=PIN_HEADER_M_2x3
Change Physical Footprint: Designator=Horn Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=Lapc Old Footprint=JST_SE_2PIN New Footprint=JST_SE_2PIN
Change Physical Footprint: Designator=P1 Old Footprint=PIN_HEADER_M_1x24 New Footprint=PIN_HEADER_M_1x24
Change Physical Footprint: Designator=P2 Old Footprint=PIN_HEADER_M_1x24 New Footprint=PIN_HEADER_M_1x24
Change Physical Footprint: Designator=P4 Old Footprint=JST_SE_4PIN New Footprint=JST_SE_4PIN
Change Physical Footprint: Designator=R4 Old Footprint=R_SMD_0805_pcb New Footprint=R_SMD_0805_pcb
Change Physical Footprint: Designator=R5 Old Footprint=R_SMD_0805_pcb New Footprint=R_SMD_0805_pcb
Change Physical Footprint: Designator=R6 Old Footprint=R_SMD_0805_pcb New Footprint=R_SMD_0805_pcb
Change Physical Footprint: Designator=Throttle Old Footprint=JST_SE_3PIN New Footprint=JST_SE_3PIN
Change Physical Footprint: Designator=U1 Old Footprint=SN65HVD231D_SMD New Footprint=SN65HVD231D_SMD
